method,query_song_name,query_song_genre,match_1,match_1_genre,match_2,match_2_genre,match_3,match_3_genre
raw dot product,All The Things You Are,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Hot N Cold (Innerpartysystem Main),electronic
raw dot product,Vultures,blues,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,Interlude 5,r&b/soul,I Mean (I Don't Mean It),r&b/soul
raw dot product,Out Of My Mind,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Hump Bounce,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I Want You,r&b/soul
raw dot product,Intro - The Sermon,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I'm A Winner (Amended Album Version),hip hop
raw dot product,Call On Me,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Oceans and Streams,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,8 Mile,hip hop
raw dot product,10 A.M. Automatic,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Man In The Mirror,pop
raw dot product,Aeroplane Blues,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,I Mean (I Don't Mean It),r&b/soul
raw dot product,All Hands Against His Own,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Man In The Mirror,pop
raw dot product,Black Door,blues,I Wanna Know,r&b/soul,Interlude 5,r&b/soul,Everytime I...,r&b/soul
raw dot product,Busted,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,I Want You,r&b/soul
raw dot product,Give Your Heart Away,blues,Interlude 5,r&b/soul,Man In The Mirror,pop,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop
raw dot product,Grown So Ugly,blues,Interlude 5,r&b/soul,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,My Darling,hip hop
raw dot product,Hard Row,blues,Interlude 5,r&b/soul,I'm A Winner (Amended Album Version),hip hop,Man In The Mirror,pop
raw dot product,I Got Mine,blues,Everytime I...,r&b/soul,8 Mile,hip hop,I Want You,r&b/soul
